1. Information,2. Symbol,3. Last Refreshed,4. Output Size,5. Time Zone,2022-07-12,2022-07-11,2022-07-08,2022-07-07,2022-07-06,2022-07-05,2022-07-01,2022-06-30,2022-06-29,2022-06-28,2022-06-27,2022-06-24,2022-06-23,2022-06-22,2022-06-21,2022-06-17,2022-06-16,2022-06-15,2022-06-14,2022-06-13,2022-06-10,2022-06-09,2022-06-08,2022-06-07,2022-06-06,2022-06-03,2022-06-02,2022-06-01,2022-05-31,2022-05-27,2022-05-26,2022-05-25,2022-05-24,2022-05-23,2022-05-20,2022-05-19,2022-05-18,2022-05-17,2022-05-16,2022-05-13,2022-05-12,2022-05-11,2022-05-10,2022-05-09,2022-05-06,2022-05-05,2022-05-04,2022-05-03,2022-05-02,2022-04-29,2022-04-28,2022-04-27,2022-04-26,2022-04-25,2022-04-22,2022-04-21,2022-04-20,2022-04-19,2022-04-18,2022-04-14,2022-04-13,2022-04-12,2022-04-11,2022-04-08,2022-04-07,2022-04-06,2022-04-05,2022-04-04,2022-04-01,2022-03-31,2022-03-30,2022-03-29,2022-03-28,2022-03-25,2022-03-24,2022-03-23,2022-03-22,2022-03-21,2022-03-18,2022-03-17,2022-03-16,2022-03-15,2022-03-14,2022-03-11,2022-03-10,2022-03-09,2022-03-08,2022-03-07,2022-03-04,2022-03-03,2022-03-02,2022-03-01,2022-02-28,2022-02-25,2022-02-24,2022-02-23,2022-02-22,2022-02-18,2022-02-17,2022-02-16
"Daily Prices (open, high, low, close) and Volumes",IBM,2022-07-12,Compact,US/Eastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"{'1. open': '140.8400', '2. high': '141.5500', '3. low': '138.5650', '4. close': '139.1800', '5. volume': '3235571'}","{'1. open': '140.6200', '2. high': '141.8700', '3. low': '140.1300', '4. close': '141.0000', '5. volume': '3912773'}","{'1. open': '140.7600', '2. high': '141.3203', '3. low': '139.8200', '4. close': '140.4700', '5. volume': '2820928'}","{'1. open': '138.9100', '2. high': '141.3250', '3. low': '138.8300', '4. close': '140.8300', '5. volume': '3897077'}","{'1. open': '138.0000', '2. high': '139.1400', '3. low': '137.1300', '4. close': '138.0800', '5. volume': '3237059'}","{'1. open': '139.9700', '2. high': '139.9700', '3. low': '135.2700', '4. close': '137.6200', '5. volume': '6274067'}","{'1. open': '141.0000', '2. high': '141.6700', '3. low': '139.2600', '4. close': '141.1200', '5. volume': '4012106'}","{'1. open': '139.5800', '2. high': '142.4600', '3. low': '139.2800', '4. close': '141.1900', '5. volume': '4878020'}","{'1. open': '142.7400', '2. high': '143.5213', '3. low': '139.5000', '4. close': '140.7100', '5. volume': '4161491'}","{'1. open': '142.9200', '2. high': '144.1550', '3. low': '141.3200', '4. close': '141.8600', '5. volume': '4065202'}","{'1. open': '142.2600', '2. high': '143.8300', '3. low': '141.9500', '4. close': '142.8000', '5. volume': '3935968'}","{'1. open': '139.2000', '2. high': '142.3700', '3. low': '139.1300', '4. close': '142.0600', '5. volume': '11493012'}","{'1. open': '137.1400', '2. high': '138.6200', '3. low': '136.5000', '4. close': '138.4400', '5. volume': '4547925'}","{'1. open': '136.1000', '2. high': '138.1800', '3. low': '136.0300', '4. close': '137.0800', '5. volume': '3791635'}","{'1. open': '135.9000', '2. high': '138.5000', '3. low': '135.9000', '4. close': '137.8500', '5. volume': '4089272'}","{'1. open': '135.9900', '2. high': '136.9800', '3. low': '132.8500', '4. close': '135.0200', '5. volume': '12968509'}","{'1. open': '135.3000', '2. high': '136.2400', '3. low': '134.3900', '4. close': '135.6700', '5. volume': '5386396'}","{'1. open': '136.0100', '2. high': '138.4500', '3. low': '135.5800', '4. close': '137.0600', '5. volume': '4606887'}","{'1. open': '135.0000', '2. high': '136.9501', '3. low': '134.8600', '4. close': '135.7200', '5. volume': '4607785'}","{'1. open': '133.9700', '2. high': '137.5700', '3. low': '133.7600', '4. close': '135.1100', '5. volume': '6486044'}","{'1. open': '137.8000', '2. high': '137.8000', '3. low': '135.2500', '4. close': '136.1900', '5. volume': '4661716'}","{'1. open': '140.1500', '2. high': '141.0400', '3. low': '137.9300', '4. close': '137.9600', '5. volume': '3592551'}","{'1. open': '142.0700', '2. high': '142.8000', '3. low': '140.1500', '4. close': '140.8300', '5. volume': '3005666'}","{'1. open': '142.6000', '2. high': '142.9800', '3. low': '140.9600', '4. close': '142.7800', '5. volume': '2887051'}","{'1. open': '142.9800', '2. high': '144.7300', '3. low': '142.0000', '4. close': '142.8800', '5. volume': '4767100'}","{'1. open': '140.2600', '2. high': '142.5794', '3. low': '139.7400', '4. close': '141.1800', '5. volume': '4352213'}","{'1. open': '139.4500', '2. high': '140.2900', '3. low': '136.8500', '4. close': '140.1500', '5. volume': '3734812'}","{'1. open': '139.6700', '2. high': '140.4699', '3. low': '138.5200', '4. close': '139.4300', '5. volume': '3796488'}","{'1. open': '138.2000', '2. high': '139.8300', '3. low': '136.8100', '4. close': '138.8400', '5. volume': '7978053'}","{'1. open': '137.3900', '2. high': '139.7394', '3. low': '137.2400', '4. close': '139.2700', '5. volume': '4608215'}","{'1. open': '135.0000', '2. high': '137.5500', '3. low': '134.5200', '4. close': '136.8900', '5. volume': '3929338'}","{'1. open': '132.8600', '2. high': '134.8200', '3. low': '132.8600', '4. close': '134.3900', '5. volume': '3299303'}","{'1. open': '130.5700', '2. high': '134.3700', '3. low': '130.4200', '4. close': '133.8000', '5. volume': '4189723'}","{'1. open': '129.5000', '2. high': '131.9500', '3. low': '129.4200', '4. close': '131.1700', '5. volume': '3591511'}","{'1. open': '130.1800', '2. high': '130.3700', '3. low': '125.8000', '4. close': '128.4800', '5. volume': '6914458'}","{'1. open': '132.0000', '2. high': '132.3200', '3. low': '128.7100', '4. close': '129.6600', '5. volume': '5819664'}","{'1. open': '137.1000', '2. high': '137.6150', '3. low': '132.1700', '4. close': '132.9400', '5. volume': '6003015'}","{'1. open': '137.1900', '2. high': '138.3700', '3. low': '135.6400', '4. close': '138.3700', '5. volume': '4372909'}","{'1. open': '133.1000', '2. high': '136.5100', '3. low': '132.4100', '4. close': '135.0300', '5. volume': '4250395'}","{'1. open': '133.0000', '2. high': '133.8000', '3. low': '131.0500', '4. close': '133.6000', '5. volume': '4195218'}","{'1. open': '131.2700', '2. high': '133.6200', '3. low': '130.4100', '4. close': '132.9000', '5. volume': '5384809'}","{'1. open': '129.8600', '2. high': '132.9600', '3. low': '129.8600', '4. close': '130.7500', '5. volume': '5301131'}","{'1. open': '135.0000', '2. high': '135.4100', '3. low': '128.4300', '4. close': '129.1300', '5. volume': '8642398'}","{'1. open': '134.4100', '2. high': '136.3450', '3. low': '133.3150', '4. close': '134.4400', '5. volume': '7647933'}","{'1. open': '135.4700', '2. high': '137.9900', '3. low': '135.4700', '4. close': '137.6700', '5. volume': '7306396'}","{'1. open': '136.4600', '2. high': '137.2600', '3. low': '134.7600', '4. close': '135.9200', '5. volume': '5957434'}","{'1. open': '132.8700', '2. high': '137.8700', '3. low': '132.1400', '4. close': '137.4000', '5. volume': '5913705'}","{'1. open': '133.0000', '2. high': '133.6000', '3. low': '131.9900', '4. close': '132.5200', '5. volume': '3688574'}","{'1. open': '133.0000', '2. high': '133.7700', '3. low': '130.8900', '4. close': '133.0400', '5. volume': '4213477'}","{'1. open': '135.1300', '2. high': '135.5545', '3. low': '132.0000', '4. close': '132.2100', '5. volume': '5078660'}","{'1. open': '136.8500', '2. high': '136.9900', '3. low': '134.8100', '4. close': '135.7400', '5. volume': '4477068'}","{'1. open': '135.7800', '2. high': '137.1200', '3. low': '134.6300', '4. close': '135.0600', '5. volume': '4369052'}","{'1. open': '139.0000', '2. high': '139.8700', '3. low': '136.1700', '4. close': '136.1900', '5. volume': '4887395'}","{'1. open': '137.5900', '2. high': '139.6500', '3. low': '135.1900', '4. close': '139.1000', '5. volume': '5748289'}","{'1. open': '139.7000', '2. high': '140.4399', '3. low': '137.3500', '4. close': '138.2500', '5. volume': '6508599'}","{'1. open': '138.2300', '2. high': '141.8800', '3. low': '137.3500', '4. close': '139.8500', '5. volume': '9922349'}","{'1. open': '135.0000', '2. high': '139.5600', '3. low': '133.3800', '4. close': '138.3200', '5. volume': '17770306'}","{'1. open': '126.0800', '2. high': '129.4000', '3. low': '126.0000', '4. close': '129.1500', '5. volume': '7971361'}","{'1. open': '126.6000', '2. high': '127.3899', '3. low': '125.5300', '4. close': '126.1700', '5. volume': '4884150'}","{'1. open': '128.9300', '2. high': '130.5800', '3. low': '126.3800', '4. close': '126.5600', '5. volume': '6384180'}","{'1. open': '125.6400', '2. high': '126.6700', '3. low': '124.9100', '4. close': '126.1400', '5. volume': '3064918'}","{'1. open': '126.4200', '2. high': '127.3400', '3. low': '125.5835', '4. close': '125.9800', '5. volume': '2690998'}","{'1. open': '127.9500', '2. high': '128.1750', '3. low': '126.1800', '4. close': '126.3700', '5. volume': '3202545'}","{'1. open': '128.0100', '2. high': '128.7800', '3. low': '127.2700', '4. close': '127.7300', '5. volume': '3143309'}","{'1. open': '128.8700', '2. high': '129.2499', '3. low': '126.7300', '4. close': '128.5500', '5. volume': '3538317'}","{'1. open': '127.7800', '2. high': '129.5150', '3. low': '127.2500', '4. close': '129.3900', '5. volume': '3958057'}","{'1. open': '129.8500', '2. high': '131.2300', '3. low': '128.6600', '4. close': '128.8900', '5. volume': '3102238'}","{'1. open': '130.2600', '2. high': '130.4500', '3. low': '128.9300', '4. close': '130.2700', '5. volume': '2811100'}","{'1. open': '129.6600', '2. high': '130.2700', '3. low': '128.0600', '4. close': '130.1500', '5. volume': '4012373'}","{'1. open': '130.7200', '2. high': '131.8800', '3. low': '130.0000', '4. close': '130.0200', '5. volume': '4274029'}","{'1. open': '132.0100', '2. high': '133.0800', '3. low': '131.3900', '4. close': '132.1300', '5. volume': '2622860'}","{'1. open': '132.0400', '2. high': '132.8400', '3. low': '130.4300', '4. close': '131.9400', '5. volume': '5791032'}","{'1. open': '130.8200', '2. high': '131.5000', '3. low': '129.6000', '4. close': '131.4700', '5. volume': '2483492'}","{'1. open': '129.5000', '2. high': '131.4000', '3. low': '129.3100', '4. close': '131.3500', '5. volume': '3516923'}","{'1. open': '128.3300', '2. high': '129.3700', '3. low': '127.8000', '4. close': '129.2500', '5. volume': '2971075'}","{'1. open': '129.0800', '2. high': '129.3200', '3. low': '128.2500', '4. close': '128.3000', '5. volume': '2924535'}","{'1. open': '128.5000', '2. high': '129.3000', '3. low': '127.8500', '4. close': '129.0600', '5. volume': '2649026'}","{'1. open': '129.0000', '2. high': '129.7400', '3. low': '127.4000', '4. close': '128.1000', '5. volume': '3379393'}","{'1. open': '127.3800', '2. high': '128.9300', '3. low': '126.3700', '4. close': '128.7600', '5. volume': '7400216'}","{'1. open': '127.1000', '2. high': '128.2900', '3. low': '126.5300', '4. close': '127.9600', '5. volume': '3671903'}","{'1. open': '126.5000', '2. high': '127.2842', '3. low': '124.7100', '4. close': '127.0400', '5. volume': '4292845'}","{'1. open': '124.0000', '2. high': '125.9398', '3. low': '123.2200', '4. close': '125.6400', '5. volume': '4021228'}","{'1. open': '124.4500', '2. high': '125.1600', '3. low': '122.6850', '4. close': '123.9400', '5. volume': '3289440'}","{'1. open': '125.0000', '2. high': '126.7700', '3. low': '123.9100', '4. close': '123.9600', '5. volume': '4119630'}","{'1. open': '125.7500', '2. high': '126.0300', '3. low': '123.1250', '4. close': '124.3500', '5. volume': '5326835'}","{'1. open': '127.4100', '2. high': '128.1000', '3. low': '125.9100', '4. close': '126.2200', '5. volume': '4403499'}","{'1. open': '126.6200', '2. high': '128.3450', '3. low': '124.8200', '4. close': '125.6800', '5. volume': '4887565'}","{'1. open': '126.4700', '2. high': '127.9050', '3. low': '125.6200', '4. close': '126.0700', '5. volume': '5047358'}","{'1. open': '124.4000', '2. high': '127.3500', '3. low': '124.2103', '4. close': '126.6200', '5. volume': '4402911'}","{'1. open': '124.9600', '2. high': '126.6650', '3. low': '124.2351', '4. close': '125.9300', '5. volume': '5206649'}","{'1. open': '122.5900', '2. high': '124.6400', '3. low': '121.8000', '4. close': '123.8600', '5. volume': '4891435'}","{'1. open': '122.6700', '2. high': '123.3900', '3. low': '120.7000', '4. close': '121.3500', '5. volume': '4873331'}","{'1. open': '122.2100', '2. high': '123.3851', '3. low': '121.0388', '4. close': '122.5100', '5. volume': '6757332'}","{'1. open': '122.0500', '2. high': '124.2625', '3. low': '121.4500', '4. close': '124.1800', '5. volume': '4460904'}","{'1. open': '120.0000', '2. high': '122.1000', '3. low': '118.8100', '4. close': '121.9700', '5. volume': '6563202'}","{'1. open': '124.3800', '2. high': '124.7000', '3. low': '121.8700', '4. close': '122.0700', '5. volume': '4086367'}","{'1. open': '124.2000', '2. high': '125.0000', '3. low': '122.6800', '4. close': '123.9200', '5. volume': '5306688'}","{'1. open': '124.9400', '2. high': '125.4400', '3. low': '123.6100', '4. close': '124.3500', '5. volume': '4609212'}","{'1. open': '128.0500', '2. high': '128.5000', '3. low': '124.8500', '4. close': '124.9700', '5. volume': '6796997'}","{'1. open': '129.4500', '2. high': '130.4400', '3. low': '128.2600', '4. close': '129.1800', '5. volume': '4875612'}"
